group,function,value,sample_time_nanos,iteration_count
Day1 - Part1,(default),,1001008.0,438
Day1 - Part1,(default),,1981698.0,876
Day1 - Part1,(default),,3031243.0,1314
Day1 - Part1,(default),,4010778.0,1752
Day1 - Part1,(default),,5028899.0,2190
Day1 - Part1,(default),,5965630.0,2628
Day1 - Part1,(default),,7001930.0,3066
Day1 - Part1,(default),,7994336.0,3504
Day1 - Part1,(default),,8938171.0,3942
Day1 - Part1,(default),,9915071.0,4380
Day1 - Part1,(default),,10875483.0,4818
Day1 - Part1,(default),,11912860.0,5256
Day1 - Part1,(default),,12924400.0,5694
Day1 - Part1,(default),,14025889.0,6132
Day1 - Part1,(default),,14746658.0,6570
Day1 - Part1,(default),,15924080.0,7008
Day1 - Part1,(default),,21951907.0,7446
Day1 - Part1,(default),,18045777.0,7884
Day1 - Part1,(default),,18569945.0,8322
Day1 - Part1,(default),,19027139.0,8760
Day1 - Part1,(default),,20045545.0,9198
Day1 - Part1,(default),,21003975.0,9636
Day1 - Part1,(default),,21806778.0,10074
Day1 - Part1,(default),,23425150.0,10512
Day1 - Part1,(default),,23978662.0,10950
Day1 - Part1,(default),,24874927.0,11388
Day1 - Part1,(default),,26160969.0,11826
Day1 - Part1,(default),,26969778.0,12264
Day1 - Part1,(default),,27949304.0,12702
Day1 - Part1,(default),,28864320.0,13140
Day1 - Part1,(default),,29611295.0,13578
Day1 - Part1,(default),,30528032.0,14016
Day1 - Part1,(default),,31472625.0,14454
Day1 - Part1,(default),,35179781.0,14892
Day1 - Part1,(default),,34909420.0,15330
Day1 - Part1,(default),,35307373.0,15768
Day1 - Part1,(default),,36118871.0,16206
Day1 - Part1,(default),,37341471.0,16644
Day1 - Part1,(default),,38233560.0,17082
Day1 - Part1,(default),,39426388.0,17520
Day1 - Part1,(default),,41158266.0,17958
Day1 - Part1,(default),,40795763.0,18396
Day1 - Part1,(default),,41527303.0,18834
Day1 - Part1,(default),,44832458.0,19272
Day1 - Part1,(default),,44240066.0,19710
Day1 - Part1,(default),,44311340.0,20148
Day1 - Part1,(default),,45711299.0,20586
Day1 - Part1,(default),,48906921.0,21024
Day1 - Part1,(default),,48037157.0,21462
Day1 - Part1,(default),,48228233.0,21900
Day1 - Part1,(default),,49588465.0,22338
Day1 - Part1,(default),,50526702.0,22776
Day1 - Part1,(default),,51209042.0,23214
Day1 - Part1,(default),,52066372.0,23652
Day1 - Part1,(default),,52985196.0,24090
Day1 - Part1,(default),,54116655.0,24528
Day1 - Part1,(default),,54925312.0,24966
Day1 - Part1,(default),,58111339.0,25404
Day1 - Part1,(default),,57107901.0,25842
Day1 - Part1,(default),,58577028.0,26280
Day1 - Part1,(default),,59144504.0,26718
Day1 - Part1,(default),,59835461.0,27156
Day1 - Part1,(default),,61936921.0,27594
Day1 - Part1,(default),,61603521.0,28032
Day1 - Part1,(default),,63977950.0,28470
Day1 - Part1,(default),,65573738.0,28908
Day1 - Part1,(default),,66386515.0,29346
Day1 - Part1,(default),,69966179.0,29784
Day1 - Part1,(default),,67855055.0,30222
Day1 - Part1,(default),,70612500.0,30660
Day1 - Part1,(default),,69306424.0,31098
Day1 - Part1,(default),,70136074.0,31536
Day1 - Part1,(default),,70273577.0,31974
Day1 - Part1,(default),,70640558.0,32412
Day1 - Part1,(default),,72295326.0,32850
Day1 - Part1,(default),,73566955.0,33288
Day1 - Part1,(default),,73607039.0,33726
Day1 - Part1,(default),,75414111.0,34164
Day1 - Part1,(default),,76003276.0,34602
Day1 - Part1,(default),,77302747.0,35040
Day1 - Part1,(default),,78010428.0,35478
Day1 - Part1,(default),,79848249.0,35916
Day1 - Part1,(default),,80468081.0,36354
Day1 - Part1,(default),,81080813.0,36792
Day1 - Part1,(default),,81774396.0,37230
Day1 - Part1,(default),,83347280.0,37668
Day1 - Part1,(default),,83960738.0,38106
Day1 - Part1,(default),,85579897.0,38544
Day1 - Part1,(default),,85796296.0,38982
Day1 - Part1,(default),,85743203.0,39420
Day1 - Part1,(default),,84290896.0,39858
Day1 - Part1,(default),,91424259.0,40296
Day1 - Part1,(default),,90753048.0,40734
Day1 - Part1,(default),,92848485.0,41172
Day1 - Part1,(default),,93023989.0,41610
Day1 - Part1,(default),,92332270.0,42048
Day1 - Part1,(default),,94191110.0,42486
Day1 - Part1,(default),,94175017.0,42924
Day1 - Part1,(default),,96313019.0,43362
Day1 - Part1,(default),,95569903.0,43800
